# x,y
1.1691,-0.3314
0.1974,0.0733
0.4176,-0.7011
-0.2074,-0.3757
-0.5373,-0.4219
-0.2562,-0.1434
-0.4534,0.2110
-0.2738,-1.5989
0.5953,-0.1959
-0.3717,0.1342
0.1150,0.0264
-0.4272,0.0958
-0.7687,0.7217
-0.6328,-0.1033
0.0096,0.1095
-0.1233,0.2414
-1.8173,-0.1169
-0.1447,-0.2818
0.7003,-0.5534
-0.1065,-1.0835
0.0714,-0.8801
-0.8542,1.1187
0.2880,-0.0703
0.0199,-0.7921
-0.5967,0.1476
-1.1353,0.0713
-0.9436,-0.0050
-0.6291,0.8224
0.4491,-0.3276
-1.0245,-0.4641
-0.0947,-0.5696
0.0781,0.4361
-0.0939,-0.2863
0.3308,-0.2160
0.3654,-0.2274
0.7547,-0.2072
-0.6036,-0.0161
-0.3865,-0.5421
-0.1293,0.3159
-1.1630,-0.0871
-0.1415,-0.1384
0.3444,-0.7271
0.2726,-0.1787
-0.0057,-0.1739
-0.2288,-0.3273
0.1494,1.0096
0.4773,0.3763
0.2277,-0.2976
0.2533,0.9992
-0.7030,0.3699
0.4648,0.0944
0.3523,0.6591
1.0784,0.6187
0.7982,0.1282
0.3809,0.0509
0.1133,-0.2695
0.3101,0.7013
-0.1118,0.0978
0.2860,-0.0180
0.4474,0.1038
-0.6170,-0.5456
0.3437,0.2958
0.5354,0.1050
0.0822,-0.8165
0.6853,-0.4847
0.5074,-0.5945
-0.3523,0.0608
-0.2317,-0.3694
0.4367,0.3259
0.1844,-0.1850
-0.4301,-0.2542
-0.2774,-0.0259
0.3749,-0.0969
-0.4100,-0.3225
0.6348,0.0722
0.1085,0.1321
0.2899,0.0620
0.5850,0.4023
-1.4303,-0.0743
1.4774,-0.6489
0.0596,0.5390
-0.0033,0.6688
-0.6378,-0.6312
-0.0969,-0.3727
-0.5410,0.2842
0.1344,0.0041
-0.2039,0.1317
-0.0609,-0.3662
0.2565,0.1858
0.0405,0.3477
-0.5540,-0.0726
-0.2626,0.6666
0.2545,1.0585
0.7863,-0.1856
-0.5474,0.2421
-0.1416,-0.0791
-0.5310,0.3006
0.0929,0.2015
0.1551,-0.4516
-1.1196,-0.1358
3.6823,4.7354
4.4799,4.9501
4.7549,5.0908
4.3439,5.2537
4.4028,4.3707
4.5452,5.0540
3.5117,5.3070
4.1729,5.6437
4.3658,5.1829
3.1837,5.8381
4.7434,5.3880
4.2306,5.6088
3.5663,5.3507
4.0113,4.4988
4.1838,5.1764
4.8521,5.4720
3.1985,4.0187
3.9606,4.8954
3.5319,4.2709
3.9028,4.4211
3.6543,5.4311
4.1193,4.6226
3.4380,4.9063
4.8668,4.7464
4.8654,4.6063
3.8949,5.3474
3.6135,5.0273
3.3227,5.3310
4.5789,4.6750
4.0929,4.7955
2.9208,6.3723
4.3143,5.4132
4.1938,5.0865
5.1851,4.0867
3.8433,4.7897
3.8957,5.3477
3.6389,4.3359
3.4352,5.2284
4.4755,5.4039
4.7984,4.7403
4.4961,5.3424
3.9167,4.6235
4.4390,4.6590
3.8526,4.5130
4.8734,4.9733
3.7496,4.8755
3.8861,5.0441
3.1460,4.4183
4.2529,5.5412
3.4937,5.0560
3.7112,3.8615
3.8436,4.4566
4.4354,4.8940
3.9798,4.2674
4.0712,4.0251
4.1090,5.6882
3.3928,5.4255
4.7025,4.8988
4.5574,5.0407
3.7523,3.9938
3.4596,4.2553
5.1907,5.1287
3.9121,4.3228
4.8607,4.4176
4.7423,5.5426
4.0356,4.6683
3.9760,4.3362
4.3245,5.8426
4.4458,5.5245
3.6495,5.1532
3.4867,4.7737
4.3640,6.2529
4.0350,5.0172
3.0513,5.0871
3.5438,4.2968
3.2539,5.0705
3.7997,5.3393
3.8819,4.9978
4.7342,5.4025
4.3842,5.7390
